VIN,Year,Model,Trim,Engine,Trans.,Drivetrain,Exterior_Color,Interior_Color,Interior,MSRP,Order_Number
2C3CDZL91PH102062,2023,CHALLENGER,SRT DEMON 170,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Destroyer Gray,Black,170 Alcantara Leather Seats,"$121,046 ",5126
2C3CDZL93PH102063,2023,CHALLENGER,SRT DEMON 170,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Octane Red,Black / Demonic Red,170 Laguna Leather Seats,"$120,746 ",5127
2C3CDZL95PH102064,2023,CHALLENGER,SRT DEMON 170,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Destroyer Gray,Black / Demonic Red,170 Laguna Leather Seats,"$122,741 ",5128
2C3CDZL97PH102065,2023,CHALLENGER,SRT DEMON 170,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Pitch-Black,Black / Demonic Red,170 Laguna Leather Seats,"$125,041 ",5129
2C3CDZL99PH102066,2023,CHALLENGER,SRT DEMON 170,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,TorRed,Black / Demonic Red,170 Laguna Leather Seats,"$124,046 ",5130
2C3CDZL90PH102067,2023,CHALLENGER,SRT DEMON 170,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Octane Red,Black,170 Alcantara Leather Seats,"$125,436 ",5131
2C3CDZL92PH102068,2023,CHALLENGER,SRT DEMON 170,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,White Knuckle,Black / Demonic Red,170 Laguna Leather Seats,"$125,041 ",5132
2C3CDZL94PH102069,2023,CHALLENGER,SRT DEMON 170,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Pitch-Black,Black,170 Alcantara Leather Seats,"$121,346 ",5133
2C3CDZL90PH102070,2023,CHALLENGER,SRT DEMON 170,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Triple Nickel,Black / Demonic Red,170 Laguna Leather Seats,"$122,441 ",5134
2C3CDZL92PH102071,2023,CHALLENGER,SRT DEMON 170,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Triple Nickel,Black,170 Alcantara Leather Seats,"$120,051 ",5135
2C3CDZL94PH102072,2023,CHALLENGER,SRT DEMON 170,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,TorRed,Black,170 Cloth Seats,"$132,536 ",5136
