VIN,Year,Model,Body,Trim,Engine,Trans.,Drivetrain,Exterior_Color,Interior_Color,Interior,MSRP,Order #,Equipment
2C3CDZFJ0PH502684,2023,CHALLENGER,COUPE,R/T SCAT PACK WIDEBODY,392 V8 SRT HEMI MDS,TorqueFlite 8-Speed Automatic Transmission,RWD,White Knuckle,Black / Ruby Red,Alcantara / Nappa Seats with Scat Pack Logo,"$64,890 ",8849,"""{\""R/T Scat Pack Widebody ATX - 24N\"":\""5995\"",\""Plus Package\"":\""3485\"",\""Technology Group\"":\""695\"",\""Carbon / Suede Interior Package\"":\""1595\"",\""Harman Kardon\\u00ae Audio Group with Subwoofer\"":\""1795\"",\""TorqueFlite\\u00ae 8-Speed Automatic Transmission\"":\""1595\"",\""Power Sunroof\"":\""1295\"",\""Uconnect\\u00ae 4C NAV with 8.4-Inch Touch Screen Display\"":\""995\"",\""Destination Charge\"":\""1595\""}"""
2C3CDZFJ2PH502685,2023,CHALLENGER,COUPE,R/T SCAT PACK WIDEBODY,392 V8 SRT HEMI MDS,TorqueFlite 8-Speed Automatic Transmission,RWD,Pitch-Black,Black,Alcantara / Nappa Seats with Scat Pack Logo,"$62,970 ",9462,"""{\""R/T Scat Pack Widebody ATX - 24N\"":\""5995\"",\""Plus Package\"":\""3485\"",\""Interior Appearance Group by Mopar\\u00ae\"":\""475\"",\""Technology Group\"":\""695\"",\""Alpine\\u00ae Audio Group with Subwoofer\"":\""995\"",\""TorqueFlite\\u00ae 8-Speed Automatic Transmission\"":\""1595\"",\""Power Sunroof\"":\""1295\"",\""SRT\\u00ae Performance Spoiler\"":\""995\"",\""Destination Charge\"":\""1595\""}"""
2C3CDZFJ4PH502686,2023,CHALLENGER,COUPE,R/T SCAT PACK WIDEBODY,392 V8 SRT HEMI,6-Speed Manual TREMEC Transmission,RWD,White Knuckle,Black / Ruby Red,Alcantara / Nappa Seats with Scat Pack Logo,"$58,610 ",9496,"""{\""R/T Scat Pack Widebody MTX - 23N\"":\""5995\"",\""Plus Package\"":\""3485\"",\""Technology Group\"":\""495\"",\""Scat Pack Bumblebee Stripe\"":\""195\"",\""Gas Guzzler Tax\"":\""1000\"",\""Destination Charge\"":\""1595\""}"""
2C3CDZFJ6PH502687,2023,CHALLENGER,COUPE,R/T SCAT PACK WIDEBODY HEMI ORANGE,392 V8 SRT HEMI,6-Speed Manual TREMEC Transmission,RWD,Triple Nickel,Black,"Nappa / Alcantara Seats with ""//"" Logo","$59,515 ",9979,"""{\""Triple Nickel Exterior Paint\"":\""95\"",\""R/T Scat Pack Widebody MTX - 23N\"":\""5995\"",\""Plus Package\"":\""3485\"",\""Hemi Orange Package\"":\""1500\"",\""Gas Guzzler Tax\"":\""1000\"",\""Destination Charge\"":\""1595\""}"""
2C3CDZFJ8PH502688,2023,CHALLENGER,COUPE,R/T SCAT PACK WIDEBODY,392 V8 SRT HEMI,6-Speed Manual TREMEC Transmission,RWD,Octane Red,Black / Ruby Red,Alcantara / Nappa Seats with Scat Pack Logo,"$62,700 ",1966,"""{\""Octane Red Exterior Paint\"":\""395\"",\""R/T Scat Pack Widebody MTX - 23N\"":\""5995\"",\""Plus Package\"":\""3485\"",\""Carbon / Suede Interior Package\"":\""1595\"",\""Harman Kardon\\u00ae Audio Group with Subwoofer\"":\""1795\"",\""SRT\\u00ae Performance Spoiler\"":\""995\"",\""Gas Guzzler Tax\"":\""1000\"",\""Destination Charge\"":\""1595\""}"""
2C3CDZFJXPH502689,2023,CHALLENGER,COUPE,R/T SCAT PACK WIDEBODY,392 V8 SRT HEMI MDS,TorqueFlite 8-Speed Automatic Transmission,RWD,Pitch-Black,Black,Alcantara / Nappa Seats with Scat Pack Logo,"$62,300 ",2088,"""{\""R/T Scat Pack Widebody ATX - 24N\"":\""5995\"",\""Plus Package\"":\""3485\"",\""Harman Kardon\\u00ae Audio Group with Subwoofer\"":\""1795\"",\""TorqueFlite\\u00ae 8-Speed Automatic Transmission\"":\""1595\"",\""Power Sunroof\"":\""1295\"",\""305/35ZR20 P Zero Summer Tires\"":\""695\"",\""Destination Charge\"":\""1595\""}"""
2C3CDZFJ6PH502690,2023,CHALLENGER,COUPE,R/T SCAT PACK WIDEBODY,392 V8 SRT HEMI MDS,TorqueFlite 8-Speed Automatic Transmission,RWD,Go Mango,Black,Alcantara / Nappa Seats with Scat Pack Logo,"$62,195 ",3486,"""{\""Go Mango Exterior Paint\"":\""395\"",\""R/T Scat Pack Widebody ATX - 24N\"":\""5995\"",\""Plus Package\"":\""3485\"",\""Technology Group\"":\""695\"",\""Carbon / Suede Interior Package\"":\""1595\"",\""Alpine\\u00ae Audio Group with Subwoofer\"":\""995\"",\""TorqueFlite\\u00ae 8-Speed Automatic Transmission\"":\""1595\"",\""Destination Charge\"":\""1595\""}"""
2C3CDZFJXPH502692,2023,CHALLENGER,COUPE,R/T SCAT PACK WIDEBODY,392 V8 SRT HEMI,6-Speed Manual TREMEC Transmission,RWD,White Knuckle,Black,Houndstooth Cloth Performance Seat,"$54,630 ",4788,"""{\""R/T Scat Pack Widebody MTX - 23N\"":\""5995\"",\""Scat Pack Bumblebee Stripe\"":\""195\"",\""Gas Guzzler Tax\"":\""1000\"",\""Destination Charge\"":\""1595\""}"""
2C3CDZFJ1PH502693,2023,CHALLENGER,COUPE,R/T SCAT PACK WIDEBODY,392 V8 SRT HEMI MDS,TorqueFlite 8-Speed Automatic Transmission,RWD,Pitch-Black,Black,Houndstooth Cloth Performance Seat,"$57,320 ",5464,"""{\""R/T Scat Pack Widebody ATX - 24N\"":\""5995\"",\""Alpine\\u00ae Audio Group with Subwoofer\"":\""995\"",\""TorqueFlite\\u00ae 8-Speed Automatic Transmission\"":\""1595\"",\""Power Sunroof\"":\""1295\"",\""Destination Charge\"":\""1595\""}"""
2C3CDZFJ3PH502694,2023,CHALLENGER,COUPE,R/T SCAT PACK PLUS,392 V8 SRT HEMI,6-Speed Manual TREMEC Transmission,RWD,Pitch-Black,Black,Alcantara / Nappa Seats with Scat Pack Logo,"$51,925 ",5514,"""{\""Plus Package\"":\""3485\"",\""Gas Guzzler Tax\"":\""1000\"",\""Destination Charge\"":\""1595\""}"""
