VIN,Year,Model,Trim,Engine,Trans.,Drivetrain,Exterior_Color,Interior_Color,Interior,MSRP,Order_Number,URL
2C3CDZL94PH103271,2023,CHALLENGER,SRT HELLCAT,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Plum Crazy Pearl,Black interior / Black seats,SRT Demon 170 Alcantara/Leather seats,"$146,870",6335,https://www.dodge.com/hostd/windowsticker/getWindowStickerPdf.do?vin=2C3CDZL94PH103271
2C3CDZL96PH103272,2023,CHALLENGER,SRT HELLCAT,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,White Knuckle,Black interior / Black seats,SRT Demon 170 Alcantara/Leather seats,"$150,075",6336,https://www.dodge.com/hostd/windowsticker/getWindowStickerPdf.do?vin=2C3CDZL96PH103272
2C3CDZL98PH103273,2023,CHALLENGER,SRT HELLCAT,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,BLANC INTENSE,NOIR AVEC SIEGES NOIRS,SIEGES EN ALCANTARA/CUIR SRT DEMON,150075,6337,https://www.dodge.com/hostd/windowsticker/getWindowStickerPdf.do?vin=2C3CDZL98PH103273
2C3CDZL9XPH103274,2023,CHALLENGER,SRT HELLCAT,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,GRIS DESTROYER,NOIR AVEC SIEGES ROUGE FOUDROYANT,SRTMD DEMON 170 LAGUNA LEATHER SEATS,150075,6338,https://www.dodge.com/hostd/windowsticker/getWindowStickerPdf.do?vin=2C3CDZL9XPH103274
2C3CDZL91PH103275,2023,CHALLENGER,SRT HELLCAT,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Destroyer Grey,Black interior / Demonic Red seats,SRT Demon 170 Laguna leather seats,"$150,075",6339,https://www.dodge.com/hostd/windowsticker/getWindowStickerPdf.do?vin=2C3CDZL91PH103275
2C3CDZL93PH103276,2023,CHALLENGER,SRT HELLCAT,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Sinamon Stick,Black interior / Black seats,SRT Demon 170 Alcantara/Leather seats,"$150,865",6340,https://www.dodge.com/hostd/windowsticker/getWindowStickerPdf.do?vin=2C3CDZL93PH103276
2C3CDZL95PH103277,2023,CHALLENGER,SRT HELLCAT,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Destroyer Grey,Black interior / Demonic Red seats,SRT Demon 170 Laguna leather seats,"$150,093",6341,https://www.dodge.com/hostd/windowsticker/getWindowStickerPdf.do?vin=2C3CDZL95PH103277
2C3CDZL97PH103278,2023,CHALLENGER,SRT HELLCAT,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Destroyer Grey,Black interior / Demonic Red seats,SRT Demon 170 Laguna leather seats,"$150,075",6342,https://www.dodge.com/hostd/windowsticker/getWindowStickerPdf.do?vin=2C3CDZL97PH103278
2C3CDZL99PH103279,2023,CHALLENGER,SRT HELLCAT,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Destroyer Grey,Black interior / Demonic Red seats,SRT Demon 170 Laguna leather seats,"$150,075",6343,https://www.dodge.com/hostd/windowsticker/getWindowStickerPdf.do?vin=2C3CDZL99PH103279
2C3CDZL95PH103280,2023,CHALLENGER,SRT HELLCAT,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Destroyer Grey,Black interior / Black seats,SRT Demon 170 Alcantara/Leather seats,"$147,470",6344,https://www.dodge.com/hostd/windowsticker/getWindowStickerPdf.do?vin=2C3CDZL95PH103280
2C3CDZL97PH103281,2023,CHALLENGER,SRT HELLCAT,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,GRIS DESTROYER,NOIR AVEC SIEGES NOIRS,SIEGES EN ALCANTARA/CUIR SRT DEMON,147470,6345,https://www.dodge.com/hostd/windowsticker/getWindowStickerPdf.do?vin=2C3CDZL97PH103281
2C3CDZL99PH103282,2023,CHALLENGER,SRT HELLCAT,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Destroyer Grey,Black interior / Black seats,SRT Demon 170 Alcantara/Leather seats,"$147,470",6346,https://www.dodge.com/hostd/windowsticker/getWindowStickerPdf.do?vin=2C3CDZL99PH103282
2C3CDZL90PH103283,2023,CHALLENGER,SRT HELLCAT,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Destroyer Grey,Black interior / Black seats,SRT Demon 170 Alcantara/Leather seats,"$147,470",6347,https://www.dodge.com/hostd/windowsticker/getWindowStickerPdf.do?vin=2C3CDZL90PH103283
2C3CDZL92PH103284,2023,CHALLENGER,SRT HELLCAT,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Destroyer Grey,Black interior / Black seats,SRT Demon 170 Alcantara/Leather seats,"$147,470",6348,https://www.dodge.com/hostd/windowsticker/getWindowStickerPdf.do?vin=2C3CDZL92PH103284
2C3CDZL94PH103285,2023,CHALLENGER,SRT HELLCAT,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Go Mango,Black interior / Black seats,SRT Demon 170 Alcantara/Leather seats,"$150,075",6349,https://www.dodge.com/hostd/windowsticker/getWindowStickerPdf.do?vin=2C3CDZL94PH103285
2C3CDZL96PH103286,2023,CHALLENGER,SRT HELLCAT,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,COUCHE NACREE VIOLET PRUNE,NOIR AVEC SIEGES ROUGE FOUDROYANT,SRTMD DEMON 170 LAGUNA LEATHER SEATS,150865,6350,https://www.dodge.com/hostd/windowsticker/getWindowStickerPdf.do?vin=2C3CDZL96PH103286
2C3CDZL98PH103287,2023,CHALLENGER,SRT HELLCAT,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Go Mango,Black interior / Black seats,SRT Demon 170 Alcantara/Leather seats,"$150,075",6351,https://www.dodge.com/hostd/windowsticker/getWindowStickerPdf.do?vin=2C3CDZL98PH103287
